name,imagenum1,imagenum2
Abdullah_Gul,13,14
Abdullah_Gul,13,16
Abdullatif_Sener,1,2
Adel_Al-Jubeir,1,3
Al_Pacino,1,2
Alan_Greenspan,1,5
Albert_Costa,2,6
Albert_Costa,4,6
Albert_Costa,5,6
Alejandro_Atchugarry,1,2
Alex_Penelas,1,2
Ali_Naimi,1,3
Ali_Naimi,3,4
Allison_Janney,1,2
Allyson_Felix,2,5
Alvaro_Uribe,7,10
Alvaro_Uribe,17,26
Alvaro_Uribe,28,29
Amanda_Bynes,1,2
Amanda_Bynes,1,3
Amanda_Bynes,1,4
Amanda_Bynes,3,4
Amelie_Mauresmo,1,21
Amelie_Mauresmo,4,11
Amelie_Mauresmo,16,21
Ana_Palacio,1,6
Andrei_Mikhnevich,1,2
Andy_Hebb,1,2
Angelo_Reyes,1,2
Angelo_Reyes,2,3
Ann_Veneman,1,2
Ann_Veneman,5,11
Ann_Veneman,8,9
Anna_Nicole_Smith,1,2
Anne_Krueger,1,2
Anne_Krueger,2,3
Annette_Lu,1,2
Annette_Lu,1,3
Annette_Lu,2,3
Antonio_Palocci,3,8
Antonio_Trillanes,1,2
Antonio_Trillanes,2,3
Arlen_Specter,1,3
Augustin_Calleri,1,3
Augustin_Calleri,1,4
Barbara_Brezigar,1,2
Begum_Khaleda_Zia,1,2
Ben_Affleck,1,3
Ben_Affleck,2,6
Ben_Affleck,3,6
Bertie_Ahern,2,3
Bill_Frist,1,3
Bill_Frist,2,7
Bill_Frist,3,8
Bill_McBride,2,6
Bill_McBride,2,10
Bill_McBride,3,9
Bill_Sizemore,1,2
Bono,1,2
Bono,1,3
Bono,2,3
Brian_Cowen,1,2
Bridget_Fonda,1,3
Bridgette_Wilson-Sampras,1,2
Butch_Davis,1,2
Calista_Flockhart,2,6
Candice_Bergen,1,3
Carla_Del_Ponte,2,4
Carla_Del_Ponte,4,5
Carlos_Manuel_Pruneda,1,2
Carlos_Manuel_Pruneda,1,3
Carlos_Manuel_Pruneda,2,3
Carlos_Moya,7,11
Carlos_Ortega,1,3
Carolyn_Dawn_Johnson,2,3
Carrie-Anne_Moss,2,5
Carson_Daly,1,2
Cathy_Freeman,1,2
Chanda_Rubin,2,4
Chang_Dae-whan,1,2
Charles_Taylor,3,9
Chen_Shui-bian,3,5
Chita_Rivera,1,2
Chok_Tong_Goh,1,2
Chris_Bell,1,2
Chris_Byrd,1,2
Christian_Longo,1,3
Christian_Longo,2,3
Christian_Wulff,1,2
Christine_Ebersole,1,2
Christine_Todd_Whitman,5,6
Christopher_Reeve,1,4
Claire_Leger,1,2
Condoleezza_Rice,2,5
Condoleezza_Rice,7,10
Cristina_Fernandez,1,2
Dai_Bachtiar,1,2
Daisy_Fuentes,3,4
Dave_Campo,1,2
Dave_Campo,2,3
David_Stern,1,4
David_Stern,3,4
Denise_Johnson,1,2
Dennis_Powell,1,2
Denzel_Washington,1,3
Denzel_Washington,2,4
Denzel_Washington,2,5
Derek_Jeter,2,3
Diane_Green,1,2
Dick_Clark,1,2
Dick_Clark,1,3
Dick_Clark,2,3
Dick_Vermeil,1,2
Dominique_de_Villepin,3,5
Dominique_de_Villepin,7,11
Dominique_de_Villepin,14,15
Donald_Pettit,1,2
Donald_Pettit,2,3
Donald_Rumsfeld,22,36
Donald_Rumsfeld,28,108
Donald_Rumsfeld,41,48
Doug_Collins,1,2
Edward_Lu,2,4
Edward_Norton,1,2
Edwin_Edwards,1,2
Edwin_Edwards,2,3
Eliane_Karp,1,4
Eliane_Karp,2,3
Elin_Nordegren,1,2
Elinor_Caplan,1,2
Elisabeth_Schumacher,1,2
Elizabeth_Smart,1,5
Elizabeth_Smart,3,4
Elsa_Zylberstein,1,2
Elsa_Zylberstein,1,5
Elsa_Zylberstein,3,6
Emma_Watson,1,4
Emma_Watson,2,3
Emma_Watson,3,5
Erik_Morales,1,3
Erika_Christensen,1,2
Erin_Runnion,3,4
Ernie_Fletcher,1,2
Fabiola_Zuluaga,1,2
Felipe_Perez_Roque,1,4
Felipe_Perez_Roque,2,4
Fernando_Vargas,2,4
Flor_Montulo,1,2
Frank_Cassell,1,2
Frank_Dunham_Jr,1,2
Gao_Qiang,1,2
Garry_Trudeau,1,2
Gary_Doer,1,2
Gary_Doer,1,3
Gary_Doer,2,3
Gary_Winnick,1,2
Gene_Robinson,2,4
George_Foreman,1,2
George_Karl,1,2
George_Robertson,5,20
George_Robertson,12,19
George_Robertson,15,22
Georgi_Parvanov,1,2
Geraldine_Chaplin,1,3
Gerhard_Schroeder,3,26
Gerry_Adams,3,7
Gerry_Adams,5,8
Gilberto_Rodriguez_Orejuela,1,3
Gilberto_Rodriguez_Orejuela,2,4
Gilberto_Rodriguez_Orejuela,3,4
Giuseppe_Gibilisco,2,4
Giuseppe_Gibilisco,3,4
Glafcos_Clerides,1,4
Gordon_Brown,4,11
Gordon_Campbell,1,2
Gray_Davis,6,23
Gray_Davis,13,23
Greg_Gilbert,1,2
Greg_Ostertag,1,2
Gregory_Hines,1,2
Gus_Van_Sant,1,2
Gwendal_Peizerat,1,2
Gwyneth_Paltrow,4,5
Harry_Kalas,1,2
Hassan_Wirajuda,1,2
Heather_Mills,3,4
Heidi_Fleiss,1,3
Heidi_Fleiss,1,4
Hermann_Maier,1,2
Horst_Koehler,1,3
Ian_Thorpe,2,7
Ian_Thorpe,3,10
Ian_Thorpe,6,8
Isabella_Rossellini,1,2
Isabelle_Huppert,1,2
Ismail_Merchant,1,2
Jack_Grubman,1,2
Jack_Nicholson,2,3
Jacques_Chirac,22,44
Jacques_Chirac,30,33
Jacques_Chirac,31,52
Jacques_Rogge,4,6
Jake_Gyllenhaal,2,4
Jake_Gyllenhaal,3,4
James_Butts,1,2
James_Franco,1,2
James_Kelly,4,11
James_Kelly,9,11
James_Kopp,1,3
James_Kopp,2,3
James_Maguire,1,2
James_Smith,1,2
Jan_Ullrich,2,3
Jan_Ullrich,2,5
Janica_Kostelic,1,2
Javier_Weber,1,2
Javier_Weber,1,3
Jean-Claude_Juncker,1,2
Jean-Claude_Trichet,1,2
Jean-Marc_de_La_Sabliere,1,2
Jean-Pierre_Raffarin,2,6
Jean_Carnahan,1,2
Jefferson_Perez,1,2
Jennifer_Capriati,3,13
Jennifer_Capriati,24,29
Jennifer_Connelly,1,4
Jennifer_Connelly,3,4
Jennifer_Keller,2,4
Jennifer_Keller,3,4
Jeong_Se-hyun,4,5
Jeremy_Shockey,1,2
Jesse_Ventura,1,3
Jessica_Lange,1,2
Jiang_Zemin,2,17
Jiang_Zemin,12,15
Jim_Harrick,1,2
Jimmy_Carter,1,9
Jimmy_Carter,4,8
Jimmy_Carter,8,9
Joe_Mantello,1,2
Joe_Nichols,1,3
Joe_Nichols,3,4
John_Bolton,3,10
John_Bolton,4,14
John_Bolton,5,13
John_Bolton,11,14
John_Garamendi,1,2
John_McCallum,1,2
John_Negroponte,4,17
John_Rowland,1,2
John_Stallworth,1,2
John_Travolta,4,5
John_Walsh,1,2
Johnny_Carson,1,2
Jorge_Castaneda,1,2
Jose_Dirceu,1,2
Joseph_Deiss,1,2
Judi_Dench,1,2
Julie_Gerberding,7,12
Julie_Gerberding,8,12
Justin_Leonard,1,3
Justine_Henin,1,3
Justine_Henin,2,3
Kamal_Kharrazi,3,5
Keith_Bogans,2,3
Kenneth_Evans,1,2
Kim_Yong-il,1,2
King_Abdullah_II,1,2
King_Abdullah_II,1,3
King_Abdullah_II,1,4
King_Abdullah_II,2,3
Kjell_Magne_Bondevik,1,2
Kosuke_Kitajima,1,2
Kristen_Breitweiser,1,2
Kristin_Davis,1,2
Kristin_Davis,2,3
Kurt_Warner,1,5
LK_Advani,1,2
LK_Advani,1,3
LK_Advani,2,3
Larry_Coker,2,4
Latrell_Sprewell,1,2
Laura_Linney,1,3
Lauren_Killian,1,2
Laurent_Jalabert,1,2
Leonardo_DiCaprio,1,8
Leonardo_DiCaprio,3,7
Leonid_Kuchma,1,6
Leonid_Kuchma,2,3
Leonid_Kuchma,2,4
Leonid_Kuchma,4,6
Leslie_Moonves,1,2
Leszek_Miller,2,3
Lino_Oviedo,1,2
Lisa_Raymond,1,2
Liza_Minnelli,1,3
Lloyd_Ward,1,2
Luciano_Pavarotti,1,3
Lucy_Liu,2,4
Luis_Figo,1,2
Luis_Horna,1,3
Luis_Horna,2,5
Lynn_Abraham,1,2
Mack_Brown,1,2
Mahmoud_Abbas,19,26
Marcelo_Rios,1,4
Marcelo_Rios,2,4
Marcelo_Rios,4,5
Marieta_Chrousala,1,2
Marieta_Chrousala,1,3
Mario_Cipollini,1,2
Mark_Dacey,1,2
Mark_Richt,1,3
Mark_Richt,2,3
Martha_Burk,2,4
Martha_Stewart,1,2
Martha_Stewart,2,5
Martha_Stewart,3,5
Martin_Cauchon,1,2
Martin_Sheen,1,2
Mary_Landrieu,1,3
Masum_Turker,1,2
Masum_Turker,1,3
Matt_Doherty,1,2
Matt_Doherty,1,3
Matthew_Broderick,1,4
Matthew_Broderick,2,3
Matthew_Broderick,3,4
Melissa_Etheridge,1,2
Michael_Jackson,2,8
Michael_Phelps,1,3
Michael_Sullivan,1,2
Michel_Duclos,1,2
Michelle_Yeoh,3,4
Miguel_Contreras,1,2
Mike_Price,1,2
Mikhail_Youzhny,1,2
Mikhail_Youzhny,1,3
Mikhail_Youzhny,2,3
Mikulas_Dzurinda,1,2
Mireya_Moscoso,1,3
Mireya_Moscoso,2,3
Mohamed_ElBaradei,3,6
Mohamed_ElBaradei,4,5
Mohamed_ElBaradei,5,8
Monica_Lewinsky,2,3
Muhammad_Ali,4,7
Muhammad_Ali,6,9
Nancy_Pelosi,2,5
Nancy_Pelosi,6,13
Nancy_Pelosi,13,14
Naomi_Campbell,1,2
Naoto_Kan,2,3
Nasser_al-Kidwa,1,2
Nastassia_Kinski,1,2
Natalie_Coughlin,1,2
Natalie_Coughlin,3,5
Natalie_Maines,2,4
Nicanor_Duarte_Frutos,8,10
Noah_Wyle,1,2
Norm_Coleman,2,7
Orrin_Hatch,1,2
Osama_bin_Laden,2,4
Owen_Wilson,1,2
Ozzy_Osbourne,1,2
Ozzy_Osbourne,2,3
Padraig_Harrington,1,3
Paris_Hilton,1,2
Patrick_Leahy,1,2
Patti_Labelle,1,2
Patti_Labelle,2,3
Patty_Schnyder,1,3
Patty_Schnyder,1,4
Paul-Henri_Mathieu,1,2
Paul_Burrell,4,10
Paul_Burrell,5,11
Paul_Martin,1,8
Paul_Martin,2,4
Paul_Martin,3,6
Paul_Patton,1,2
Paul_Sarbanes,2,3
Pedro_Malan,1,2
Pedro_Malan,1,4
Pedro_Malan,2,3
Penelope_Cruz,1,2
Peter_Greenaway,1,2
Pierce_Brosnan,4,12
Pierce_Brosnan,7,8
Pierre_Boulanger,1,2
Priscilla_Presley,1,2
Rachel_Griffiths,1,3
Rachel_Hunter,2,3
Ralf_Schumacher,1,6
Rebecca_Romijn-Stamos,2,4
Rebecca_Romijn-Stamos,3,4
Reese_Witherspoon,1,2
Reese_Witherspoon,1,4
Ricardo_Maduro,1,2
Rich_Gannon,1,2
Richard_Gere,1,10
Richard_Gere,6,10
Richard_Norton-Taylor,1,2
Richard_Shelby,1,2
Richie_Adubato,1,2
Rick_Dinse,1,3
Rick_Perry,1,2
Rick_Perry,2,6
Rick_Pitino,1,2
Rick_Romley,1,2
Rick_Wagoner,1,2
Rob_Schneider,1,2
Robbie_Fowler,1,2
Robby_Ginepri,1,2
Robert_Horan,1,2
Robert_Mueller,1,3
Robert_Redford,2,3
Robert_Redford,2,5
Robert_Redford,4,7
Robert_Redford,7,8
Rod_Blagojevich,1,2
Rod_Stewart,1,3
Ronaldo_Luis_Nazario_de_Lima,1,4
Roy_Moore,2,3
Rupert_Grint,2,3
Russell_Coutts,1,2
Russell_Crowe,1,2
Salma_Hayek,1,7
Salma_Hayek,8,10
Sarah_Jessica_Parker,5,6
Scott_McNealy,1,2
Sean_Astin,1,2
Sean_OKeefe,4,5
Sean_Patrick_OMalley,1,2
Sean_Patrick_OMalley,1,3
Sean_Patrick_OMalley,2,3
Sean_Penn,2,3
Sergey_Lavrov,1,10
Shane_Mosley,1,2
Shannon_OBrien,1,2
Sheila_Wellstone,1,2
Silvio_Berlusconi,14,23
Spencer_Abraham,12,13
Stan_Heath,1,2
Stefano_Accorsi,1,2
Steve_Lavin,1,4
Steven_Hatfill,1,2
Surakait_Sathirathai,1,2
Susan_Collins,1,2
Susie_Castillo,1,2
Svetlana_Koroleva,1,2
Tammy_Lynn_Michaels,1,2
Tang_Jiaxuan,1,6
Tang_Jiaxuan,1,9
Tang_Jiaxuan,1,10
Tang_Jiaxuan,1,11
Tassos_Papadopoulos,1,2
Terry_McAuliffe,1,2
Terry_McAuliffe,1,3
Thabo_Mbeki,4,5
Thaksin_Shinawatra,1,6
Thaksin_Shinawatra,3,6
Theodore_Tweed_Roosevelt,2,3
Thomas_OBrien,8,9
Tim_Allen,1,2
Tim_Allen,2,4
Tim_Curry,1,2
Tippi_Hedren,1,2
Todd_Haynes,1,3
Todd_Haynes,1,4
Tom_Coverdale,1,2
Tom_Cruise,1,7
Tom_Cruise,2,4
Tom_Cruise,4,9
Tommy_Haas,2,3
Tomoko_Hagiwara,1,2
Tony_Shalhoub,1,3
Tony_Shalhoub,1,4
Tracee_Ellis_Ross,1,2
Tyler_Hamilton,1,2
Vaclav_Havel,1,6
Vaclav_Havel,1,9
Vicente_Fernandez,2,5
Vicente_Fernandez,4,5
Victoria_Beckham,2,3
Vincent_Brooks,1,2
Vincent_Brooks,2,6
Warren_Beatty,1,2
Warren_Buffett,1,3
Wesley_Clark,1,2
Will_Smith,1,2
William_Burns,1,2
William_Macy,1,4
William_Macy,2,3
William_Macy,3,5
William_Rehnquist,1,2
Winona_Ryder,6,15
Winona_Ryder,19,21
Yevgeny_Kafelnikov,3,4
Yoriko_Kawaguchi,3,10
Zoran_Djindjic,3,4